headword,pronunciation
nieomylnie,ˌ ɲ ɛ ɔ̃ ˈ m ɨ lʲ ɲ ɛ
nieomylny,ˌ ɲ ɛ ɔ̃ ˈ m ɨ l n ɨ
nieopakowanie,ˌ ɲ ɛ ɔ p a k ɔ ˈ v ã ɲ ɛ
nieopierdalanie,ˌ ɲ ɛ ɔ pʲ j ɛ r d a ˈ l ã ɲ ɛ
nieopisanie,ˌ ɲ ɛ ɔ pʲ i ˈ s ã ɲ ɛ
nieopisywalny,ˌ ɲ ɛ ɔ pʲ i s ɨ ˈ v a l n ɨ
nieopisywanie,ˌ ɲ ɛ ɔ pʲ i s ɨ ˈ v ã ɲ ɛ
nieopodal,ˌ ɲ ɛ ɔ ˈ p ɔ d a l
nieoponowanie,ˌ ɲ ɛ ɔ p ɔ̃ n ɔ ˈ v ã ɲ ɛ
nieopowiadanie,ˌ ɲ ɛ ɔ p ɔ vʲ j a ˈ d ã ɲ ɛ
nieopranie,ˌ ɲ ɛ ɔ ˈ p r ã ɲ ɛ
nieoprogramowanie,ˌ ɲ ɛ ɔ p r ɔ ɡ r ã m ɔ ˈ v ã ɲ ɛ
nieopłacanie,ˌ ɲ ɛ ɔ p w a ˈ t s̑ ã ɲ ɛ
nieoranie,ˌ ɲ ɛ ɔ ˈ r ã ɲ ɛ
nieorzeźwianie,ˌ ɲ ɛ ɔ ʒ ɛ ʑ ˈ vʲ j ä̃ ɲ ɛ
nieorzeźwienie,ˌ ɲ ɛ ɔ ʒ ɛ ʑ ˈ vʲ j ɛ̇̃ ɲ ɛ
nieosiągalny,ˌ ɲ ɛ ɔ ɕ ɔ̃ ŋ ˈ ɡ a l n ɨ
nieosiągnięcie,ˌ ɲ ɛ ɔ ɕ ɔ̃ ŋʲ ɟ ˈ ɲ ɛ̇̃ ɲ ʨ̑ ɛ
nieostrożny,ˌ ɲ ɛ ɔ ˈ s t r ɔ ʒ n ɨ
nieostry,ɲ ɛ ˈ ɔ s t r ɨ
nieostrzeganie,ˌ ɲ ɛ ɔ s ṭ ʃ ɛ ˈ ɡ ã ɲ ɛ
nieostrzenie,ˌ ɲ ɛ ɔ ˈ s ṭ ʃ ɛ̃ ɲ ɛ
nieoszukiwanie,ˌ ɲ ɛ ɔ ʃ u c i ˈ v ã ɲ ɛ
nieotaczanie,ˌ ɲ ɛ ɔ t a ˈ t ʃ̑ ã ɲ ɛ
nieotoczenie,ˌ ɲ ɛ ɔ t ɔ ˈ t ʃ̑ ɛ̃ ɲ ɛ
nieotwieranie,ˌ ɲ ɛ ɔ t fʲ j ɛ ˈ r ã ɲ ɛ
nieowłosiony,ˌ ɲ ɛ ɔ v w ɔ ˈ ɕ ɔ̃ n ɨ
nieoznaczanie,ˌ ɲ ɛ ɔ z n a ˈ t ʃ̑ ã ɲ ɛ
nieośmielanie,ˌ ɲ ɛ ɔ ɕ mʲ j ɛ ˈ l ã ɲ ɛ
nieośmieszanie,ˌ ɲ ɛ ɔ ɕ mʲ j ɛ ˈ ʃ ã ɲ ɛ
nieośnieżanie,ˌ ɲ ɛ ɔ ɕ ɲ ɛ ˈ ʒ ã ɲ ɛ
nieośnieżenie,ˌ ɲ ɛ ɔ ɕ ɲ ɛ ˈ ʒ ɛ̃ ɲ ɛ
nieoświadczanie,ˌ ɲ ɛ ɔ ɕ fʲ j a ṭ ˈ t ʃ̑ ã ɲ ɛ
nieoświetlanie,ˌ ɲ ɛ ɔ ɕ fʲ j ɛ ˈ t l ã ɲ ɛ
nieożywiony,ˌ ɲ ɛ ɔ ʒ ɨ ˈ vʲ j ɔ̃ n ɨ
niepadanie,ˌ ɲ ɛ p a ˈ d ã ɲ ɛ
niepaletyzowanie,ˌ ɲ ɛ p a l ɛ t ɨ z ɔ ˈ v ã ɲ ɛ
niepalikowanie,ˌ ɲ ɛ p a lʲ i k ɔ ˈ v ã ɲ ɛ
niepalność,ɲ ɛ ˈ p a l n ɔ ɕ ʨ̑
niepalący,ˌ ɲ ɛ p a ˈ l ɔ̃ n t s̑ ɨ
niepamięć,ɲ ɛ ˈ p ã mʲ j ɛ̇̃ ɲ ʨ̑
niepanowanie,ˌ ɲ ɛ p ã n ɔ ˈ v ã ɲ ɛ
niepapugowanie,ˌ ɲ ɛ p a p u ɡ ɔ ˈ v ã ɲ ɛ
nieparcie,ɲ ɛ ˈ p a rʲ ʨ̑ ɛ
nieparkowanie,ˌ ɲ ɛ p a r k ɔ ˈ v ã ɲ ɛ
nieparzenie,ˌ ɲ ɛ p a ˈ ʒ ɛ̃ ɲ ɛ
nieparzysty,ˌ ɲ ɛ p a ˈ ʒ ɨ s t ɨ
niepasowanie,ˌ ɲ ɛ p a s ɔ ˈ v ã ɲ ɛ
niepeeselowski,ˌ ɲ ɛ p ɛː s ɛ ˈ l ɔ f sʲ c i
nieperswadowanie,ˌ ɲ ɛ p ɛ r s f a d ɔ ˈ v ã ɲ ɛ
niepewnie,ɲ ɛ ˈ p ɛ vʲ ɲ ɛ
niepewność,ɲ ɛ ˈ p ɛ v n ɔ ɕ ʨ̑
niepewny,ɲ ɛ ˈ p ɛ v n ɨ
niepełnoletni,ˌ ɲ ɛ p ɛ w n ɔ ˈ l ɛ tʲ ɲ i
niepełnosprawność,ˌ ɲ ɛ p ɛ w n ɔ ˈ s p r a v n ɔ ɕ ʨ̑
niepełnosprawny,ˌ ɲ ɛ p ɛ w n ɔ ˈ s p r a v n ɨ
niepichcenie,ˌ ɲ ɛ pʲ i x ˈ t s̑ ɛ̃ ɲ ɛ
niepierdzielenie,ˌ ɲ ɛ pʲ j ɛ rʲ ʥ̑ ɛ ˈ l ɛ̃ ɲ ɛ
niepisanie,ˌ ɲ ɛ pʲ i ˈ s ã ɲ ɛ
niepisany,ˌ ɲ ɛ pʲ i ˈ s ã n ɨ
niepisowski,ˌ ɲ ɛ pʲ i ˈ s ɔ f sʲ c i
nieplanowanie,ˌ ɲ ɛ p l ã n ɔ ˈ v ã ɲ ɛ
nieplecenie,ˌ ɲ ɛ p l ɛ ˈ t s̑ ɛ̃ ɲ ɛ
nieplotkowanie,ˌ ɲ ɛ p l ɔ t k ɔ ˈ v ã ɲ ɛ
nieplucie,ɲ ɛ ˈ p l u ʨ̑ ɛ
nieplądrowanie,ˌ ɲ ɛ p l ɔ̃ n d r ɔ ˈ v ã ɲ ɛ
niepobudzanie,ˌ ɲ ɛ p ɔ b u ˈ d z̑ ã ɲ ɛ
niepobłękitnienie,ˌ ɲ ɛ p ɔ b w ɛ̃ ŋʲ c i tʲ ˈ ɲ ɛ̇̃ ɲ ɛ
niepodanie,ˌ ɲ ɛ p ɔ ˈ d ã ɲ ɛ
niepodejmowanie,ˌ ɲ ɛ p ɔ d ɛ j m ɔ ˈ v ã ɲ ɛ
niepodejrzewanie,ˌ ɲ ɛ p ɔ d ɛ j ʒ ɛ ˈ v ã ɲ ɛ
niepoderwanie,ˌ ɲ ɛ p ɔ d ɛ r ˈ v ã ɲ ɛ
niepodległość,ˌ ɲ ɛ p ɔ d ˈ l ɛ ɡ w ɔ ɕ ʨ̑
niepodległy,ˌ ɲ ɛ p ɔ d ˈ l ɛ ɡ w ɨ
niepodniecanie,ˌ ɲ ɛ p ɔ dʲ ɲ ɛ ˈ t s̑ ã ɲ ɛ
niepodpierdalanie,ˌ ɲ ɛ p ɔ t pʲ j ɛ r d a ˈ l ã ɲ ɛ
niepodpowiadanie,ˌ ɲ ɛ p ɔ t p ɔ vʲ j a ˈ d ã ɲ ɛ
niepodpowiedzenie,ˌ ɲ ɛ p ɔ t p ɔ vʲ j ɛ ˈ d z̑ ɛ̃ ɲ ɛ
niepodrywanie,ˌ ɲ ɛ p ɔ d r ɨ ˈ v ã ɲ ɛ
niepodróżowanie,ˌ ɲ ɛ p ɔ d r u ʒ ɔ ˈ v ã ɲ ɛ
niepodwijanie,ˌ ɲ ɛ p ɔ d vʲ i ˈ j ä̃ ɲ ɛ
niepodwyższanie,ˌ ɲ ɛ p ɔ d v ɨ ʃ ˈː ã ɲ ɛ
niepodzielny,ˌ ɲ ɛ p ɔ ˈ ʥ̑ ɛ l n ɨ
niepodziewanie,ˌ ɲ ɛ p ɔ ʥ̑ ɛ ˈ v ã ɲ ɛ
niepodziękowanie,ˌ ɲ ɛ p ɔ ʥ̑ ɛ̃ ŋ k ɔ ˈ v ã ɲ ɛ
niepogoda,ˌ ɲ ɛ p ɔ ˈ ɡ ɔ d a
niepogromny,ˌ ɲ ɛ p ɔ ˈ ɡ r ɔ̃ m n ɨ
niepokaranie,ˌ ɲ ɛ p ɔ k a ˈ r ã ɲ ɛ
niepokazanie,ˌ ɲ ɛ p ɔ k a ˈ z ã ɲ ɛ
niepokazywanie,ˌ ɲ ɛ p ɔ k a z ɨ ˈ v ã ɲ ɛ
niepokoić,ˌ ɲ ɛ p ɔ ˈ k ɔ s u p j s u p i ʨ̑
niepokorny,ˌ ɲ ɛ p ɔ ˈ k ɔ r n ɨ
niepokrywanie,ˌ ɲ ɛ p ɔ k r ɨ ˈ v ã ɲ ɛ
niepokój,ɲ ɛ ˈ p ɔ k u j
niepoleganie,ˌ ɲ ɛ p ɔ l ɛ ˈ ɡ ã ɲ ɛ
niepoliczenie,ˌ ɲ ɛ p ɔ lʲ i ˈ t ʃ̑ ɛ̃ ɲ ɛ
niepomaganie,ˌ ɲ ɛ p ɔ̃ m a ˈ ɡ ã ɲ ɛ
niepomieszczenie,ˌ ɲ ɛ p ɔ̃ mʲ j ɛ ʃ ˈ t ʃ̑ ɛ̃ ɲ ɛ
niepomijanie,ˌ ɲ ɛ p ɔ̃ mʲ i ˈ j ä̃ ɲ ɛ
niepomyślenie,ˌ ɲ ɛ p ɔ̃ m ɨ ɕ ˈ l ɛ̃ ɲ ɛ
niepomyślny,ˌ ɲ ɛ p ɔ̃ ˈ m ɨ ɕ l̥ n ɨ
nieponumerowanie,ˌ ɲ ɛ p ɔ̃ n ũ m ɛ r ɔ ˈ v ã ɲ ɛ
niepopieranie,ˌ ɲ ɛ p ɔ pʲ j ɛ ˈ r ã ɲ ɛ
niepoprawianie,ˌ ɲ ɛ p ɔ p r a ˈ vʲ j ä̃ ɲ ɛ
niepopularyzowanie,ˌ ɲ ɛ p ɔ p u l a r ɨ z ɔ ˈ v ã ɲ ɛ
nieporadność,ˌ ɲ ɛ p ɔ ˈ r a d n ɔ ɕ ʨ̑
nieporozumienie,ˌ ɲ ɛ p ɔ r ɔ z ũ ˈ mʲ j ɛ̇̃ ɲ ɛ
nieportretowanie,ˌ ɲ ɛ p ɔ r t r ɛ t ɔ ˈ v ã ɲ ɛ
nieporuszanie,ˌ ɲ ɛ p ɔ r u ˈ ʃ ã ɲ ɛ
nieporuszenie,ˌ ɲ ɛ p ɔ r u ˈ ʃ ɛ̃ ɲ ɛ
nieporwanie,ˌ ɲ ɛ p ɔ ˈ r v ã ɲ ɛ
nieporównanie,ˌ ɲ ɛ p ɔ r u v ˈ n ã ɲ ɛ
nieporównywanie,ˌ ɲ ɛ p ɔ r u v n ɨ ˈ v ã ɲ ɛ
nieposiadanie,ˌ ɲ ɛ p ɔ ɕ a ˈ d ã ɲ ɛ
nieposiekanie,ˌ ɲ ɛ p ɔ ɕ ɛ ˈ k ã ɲ ɛ
nieposolenie,ˌ ɲ ɛ p ɔ s ɔ ˈ l ɛ̃ ɲ ɛ
niepostawienie,ˌ ɲ ɛ p ɔ s t a ˈ vʲ j ɛ̇̃ ɲ ɛ
niepostępowanie,ˌ ɲ ɛ p ɔ s t ɛ̃ m p ɔ ˈ v ã ɲ ɛ
nieposzerzanie,ˌ ɲ ɛ p ɔ ʃ ɛ ˈ ʒ ã ɲ ɛ
nieposzlakowany,ˌ ɲ ɛ p ɔ ʃ l a k ɔ ˈ v ã n ɨ
nieposzukanie,ˌ ɲ ɛ p ɔ ʃ u ˈ k ã ɲ ɛ
nieposługiwanie,ˌ ɲ ɛ p ɔ s w u ɟ i ˈ v ã ɲ ɛ
nieposłuszeństwo,ˌ ɲ ɛ p ɔ s w u ˈ ʃ ɛ̃ j̃ s t f ɔ
niepotrzebnie,ˌ ɲ ɛ p ɔ ˈ ṭ ʃ ɛ bʲ ɲ ɛ
niepotrzebny,ˌ ɲ ɛ p ɔ ˈ ṭ ʃ ɛ b n ɨ
niepotrzebowanie,ˌ ɲ ɛ p ɔ ṭ ʃ ɛ b ɔ ˈ v ã ɲ ɛ
niepotwierdzanie,ˌ ɲ ɛ p ɔ t fʲ j ɛ r ˈ d z̑ ã ɲ ɛ
niepoważnie,ˌ ɲ ɛ p ɔ ˈ v a ʒʲ ɲ ɛ
niepowielanie,ˌ ɲ ɛ p ɔ vʲ j ɛ ˈ l ã ɲ ɛ
niepowieszenie,ˌ ɲ ɛ p ɔ vʲ j ɛ ˈ ʃ ɛ̃ ɲ ɛ
niepowiększanie,ˌ ɲ ɛ p ɔ vʲ j ɛ̃ ŋ ˈ k ʃ ã ɲ ɛ
niepowodowanie,ˌ ɲ ɛ p ɔ v ɔ d ɔ ˈ v ã ɲ ɛ
niepowodzenie,ˌ ɲ ɛ p ɔ v ɔ ˈ d z̑ ɛ̃ ɲ ɛ
niepowstanie,ˌ ɲ ɛ p ɔ ˈ f s t ã ɲ ɛ
niepozbawianie,ˌ ɲ ɛ p ɔ z b a ˈ vʲ j ä̃ ɲ ɛ
niepozbawienie,ˌ ɲ ɛ p ɔ z b a ˈ vʲ j ɛ̇̃ ɲ ɛ
niepozorny,ˌ ɲ ɛ p ɔ ˈ z ɔ r n ɨ
niepozostawanie,ˌ ɲ ɛ p ɔ z ɔ s t a ˈ v ã ɲ ɛ
niepośpieszenie,ˌ ɲ ɛ p ɔ ɕ pʲ j ɛ ˈ ʃ ɛ̃ ɲ ɛ
niepożyczanie,ˌ ɲ ɛ p ɔ ʒ ɨ ˈ t ʃ̑ ã ɲ ɛ
niepraw,ˈ ɲ ɛ p r a f
nieprawda,ɲ ɛ ˈ p r a v d a
nieprawdopodobny,ˌ ɲ ɛ p r a v d ɔ p ɔ ˈ d ɔ b n ɨ
nieprawdziwie,ˌ ɲ ɛ p r a vʲ ˈ ʥ̑ i vʲ j ɛ
nieprawdziwość,ˌ ɲ ɛ p r a vʲ ˈ ʥ̑ i v ɔ ɕ ʨ̑
nieprawdziwy,ˌ ɲ ɛ p r a vʲ ˈ ʥ̑ i v ɨ
nieprawidłowo,ˌ ɲ ɛ p r a vʲ i d ˈ w ɔ v ɔ
nieprawidłowy,ˌ ɲ ɛ p r a vʲ i d ˈ w ɔ v ɨ
nieprawowicie,ˌ ɲ ɛ p r a v ɔ ˈ vʲ i ʨ̑ ɛ
nieprecyzyjny,ˌ ɲ ɛ p r ɛ t s̑ ɨ ˈ z ɨ j n ɨ
nieprezentowanie,ˌ ɲ ɛ p r ɛ z ɛ̃ n t ɔ ˈ v ã ɲ ɛ
nieprodukowanie,ˌ ɲ ɛ p r ɔ d u k ɔ ˈ v ã ɲ ɛ
nieprogramowanie,ˌ ɲ ɛ p r ɔ ɡ r ã m ɔ ˈ v ã ɲ ɛ
nieprosperowanie,ˌ ɲ ɛ p r ɔ s p ɛ r ɔ ˈ v ã ɲ ɛ
nieprowadzenie,ˌ ɲ ɛ p r ɔ v a ˈ d z̑ ɛ̃ ɲ ɛ
nieprowokowanie,ˌ ɲ ɛ p r ɔ v ɔ k ɔ ˈ v ã ɲ ɛ
nieprzebaczanie,ˌ ɲ ɛ p ʃ ɛ b a ˈ t ʃ̑ ã ɲ ɛ
nieprzebieranie,ˌ ɲ ɛ p ʃ ɛ bʲ j ɛ ˈ r ã ɲ ɛ
nieprzebywanie,ˌ ɲ ɛ p ʃ ɛ b ɨ ˈ v ã ɲ ɛ
nieprzecenianie,ˌ ɲ ɛ p ʃ ɛ t s̑ ɛ̃ ˈ ɲ ä̃ ɲ ɛ
nieprzechodni,ˌ ɲ ɛ p ʃ ɛ ˈ x ɔ dʲ ɲ i
nieprzeciwstawianie,ˌ ɲ ɛ p ʃ ɛ ʨ̑ i f s t a ˈ vʲ j ä̃ ɲ ɛ
nieprzeciwstawienie,ˌ ɲ ɛ p ʃ ɛ ʨ̑ i f s t a ˈ vʲ j ɛ̇̃ ɲ ɛ
nieprzeczekiwanie,ˌ ɲ ɛ p ʃ ɛ t ʃ̑ ɛ c i ˈ v ã ɲ ɛ
nieprzeczenie,ˌ ɲ ɛ p ʃ ɛ ˈ t ʃ̑ ɛ̃ ɲ ɛ
nieprzeczuwanie,ˌ ɲ ɛ p ʃ ɛ t ʃ̑ u ˈ v ã ɲ ɛ
nieprzeczytanie,ˌ ɲ ɛ p ʃ ɛ t ʃ̑ ɨ ˈ t ã ɲ ɛ
nieprzedstawianie,ˌ ɲ ɛ p ʃ ɛ t s t a ˈ vʲ j ä̃ ɲ ɛ
nieprzeglądanie,ˌ ɲ ɛ p ʃ ɛ ɡ l ɔ̃ n ˈ d ã ɲ ɛ
nieprzegrzanie,ˌ ɲ ɛ p ʃ ɛ ˈ ɡ ʒ ã ɲ ɛ
nieprzegrzewanie,ˌ ɲ ɛ p ʃ ɛ ɡ ʒ ɛ ˈ v ã ɲ ɛ
nieprzejeżdżanie,ˌ ɲ ɛ p ʃ ɛ j ɛ ʒ ˈ d ʒ̑ ã ɲ ɛ
nieprzejście,ɲ ɛ ˈ p ʃ ɛ j ɕ ʨ̑ ɛ
nieprzekonanie,ˌ ɲ ɛ p ʃ ɛ k ɔ̃ ˈ n ã ɲ ɛ
nieprzekładanie,ˌ ɲ ɛ p ʃ ɛ k w a ˈ d ã ɲ ɛ
nieprzeliczanie,ˌ ɲ ɛ p ʃ ɛ lʲ i ˈ t ʃ̑ ã ɲ ɛ
nieprzeliczenie,ˌ ɲ ɛ p ʃ ɛ lʲ i ˈ t ʃ̑ ɛ̃ ɲ ɛ
nieprzemakalny,ˌ ɲ ɛ p ʃ ɛ̃ m a ˈ k a l n ɨ
nieprzemawianie,ˌ ɲ ɛ p ʃ ɛ̃ m a ˈ vʲ j ä̃ ɲ ɛ
nieprzemieszczanie,ˌ ɲ ɛ p ʃ ɛ̃ mʲ j ɛ ʃ ˈ t ʃ̑ ã ɲ ɛ
nieprzenoszenie,ˌ ɲ ɛ p ʃ ɛ̃ n ɔ ˈ ʃ ɛ̃ ɲ ɛ
nieprzepojenie,ˌ ɲ ɛ p ʃ ɛ p ɔ ˈ j ɛ̇̃ ɲ ɛ
nieprzepowiadanie,ˌ ɲ ɛ p ʃ ɛ p ɔ vʲ j a ˈ d ã ɲ ɛ
nieprzepraszanie,ˌ ɲ ɛ p ʃ ɛ p r a ˈ ʃ ã ɲ ɛ
nieprzerywanie,ˌ ɲ ɛ p ʃ ɛ r ɨ ˈ v ã ɲ ɛ
nieprzestrzeganie,ˌ ɲ ɛ p ʃ ɛ s ṭ ʃ ɛ ˈ ɡ ã ɲ ɛ
nieprzeszkadzanie,ˌ ɲ ɛ p ʃ ɛ ʃ k a ˈ d z̑ ã ɲ ɛ
nieprzeszkodzenie,ˌ ɲ ɛ p ʃ ɛ ʃ k ɔ ˈ d z̑ ɛ̃ ɲ ɛ
nieprzeszukiwanie,ˌ ɲ ɛ p ʃ ɛ ʃ u c i ˈ v ã ɲ ɛ
nieprzesłanie,ˌ ɲ ɛ p ʃ ɛ ˈ s w ã ɲ ɛ
nieprzetaczanie,ˌ ɲ ɛ p ʃ ɛ t a ˈ t ʃ̑ ã ɲ ɛ
nieprzetoczenie,ˌ ɲ ɛ p ʃ ɛ t ɔ ˈ t ʃ̑ ɛ̃ ɲ ɛ
nieprzetrwanie,ˌ ɲ ɛ p ʃ ɛ ˈ t r̥ f ã ɲ ɛ
nieprzetłumaczalny,ˌ ɲ ɛ p ʃ ɛ t w ũ m a ˈ t ʃ̑ a l n ɨ
nieprzewidywalny,ˌ ɲ ɛ p ʃ ɛ vʲ i d ɨ ˈ v a l n ɨ
nieprzewidywanie,ˌ ɲ ɛ p ʃ ɛ vʲ i d ɨ ˈ v ã ɲ ɛ
nieprzewijanie,ˌ ɲ ɛ p ʃ ɛ vʲ i ˈ j ä̃ ɲ ɛ
nieprzewinięcie,ˌ ɲ ɛ p ʃ ɛ vʲ ĩ ˈ ɲ ɛ̇̃ ɲ ʨ̑ ɛ
nieprzewodniczenie,ˌ ɲ ɛ p ʃ ɛ v ɔ dʲ ɲ i ˈ t ʃ̑ ɛ̃ ɲ ɛ
nieprzewracanie,ˌ ɲ ɛ p ʃ ɛ v r a ˈ t s̑ ã ɲ ɛ
nieprzełożenie,ˌ ɲ ɛ p ʃ ɛ w ɔ ˈ ʒ ɛ̃ ɲ ɛ
nieprześwitywanie,ˌ ɲ ɛ p ʃ ɛ ɕ fʲ i t ɨ ˈ v ã ɲ ɛ
nieprzychodzenie,ˌ ɲ ɛ p ʃ ɨ x ɔ ˈ d z̑ ɛ̃ ɲ ɛ
nieprzyciskanie,ˌ ɲ ɛ p ʃ ɨ ʨ̑ i ˈ s k ã ɲ ɛ
nieprzyciszanie,ˌ ɲ ɛ p ʃ ɨ ʨ̑ i ˈ ʃ ã ɲ ɛ
nieprzyciśnięcie,ˌ ɲ ɛ p ʃ ɨ ʨ̑ i ɕ ˈ ɲ ɛ̇̃ ɲ ʨ̑ ɛ
nieprzydatny,ˌ ɲ ɛ p ʃ ɨ ˈ d a t n ɨ
nieprzygotowany,ˌ ɲ ɛ p ʃ ɨ ɡ ɔ t ɔ ˈ v ã n ɨ
nieprzygotowywanie,ˌ ɲ ɛ p ʃ ɨ ɡ ɔ t ɔ v ɨ ˈ v ã ɲ ɛ
nieprzyjaciel,ˌ ɲ ɛ p ʃ ɨ ˈ j ä ʨ̑ ɛ l
nieprzyjazny,ˌ ɲ ɛ p ʃ ɨ ˈ j a z n ɨ
nieprzyjaźnie,ˌ ɲ ɛ p ʃ ɨ ˈ j ä ʑ ɲ ɛ
nieprzyjebanie,ˌ ɲ ɛ p ʃ ɨ j ɛ ˈ b ã ɲ ɛ
nieprzyjemnie,ˌ ɲ ɛ p ʃ ɨ ˈ j ɛ̃ mʲ ɲ ɛ
nieprzyjemny,ˌ ɲ ɛ p ʃ ɨ ˈ j ɛ̃ m n ɨ
nieprzyjmowanie,ˌ ɲ ɛ p ʃ ɨ j m ɔ ˈ v ã ɲ ɛ
nieprzyjęcie,ˌ ɲ ɛ p ʃ ɨ ˈ j ɛ̇̃ ɲ ʨ̑ ɛ
nieprzymknięcie,ˌ ɲ ɛ p ʃ ɨ̃ ˈ mʲ c ɲ ɛ̇̃ ɲ ʨ̑ ɛ
nieprzymykanie,ˌ ɲ ɛ p ʃ ɨ̃ m ɨ ˈ k ã ɲ ɛ
nieprzynoszenie,ˌ ɲ ɛ p ʃ ɨ̃ n ɔ ˈ ʃ ɛ̃ ɲ ɛ
nieprzypominanie,ˌ ɲ ɛ p ʃ ɨ p ɔ̃ mʲ ĩ ˈ n ã ɲ ɛ
nieprzyprawianie,ˌ ɲ ɛ p ʃ ɨ p r a ˈ vʲ j ä̃ ɲ ɛ
nieprzysięganie,ˌ ɲ ɛ p ʃ ɨ ɕ ɛ̃ ŋ ˈ ɡ ã ɲ ɛ
nieprzystępowanie,ˌ ɲ ɛ p ʃ ɨ s t ɛ̃ m p ɔ ˈ v ã ɲ ɛ
nieprzytomny,ˌ ɲ ɛ p ʃ ɨ ˈ t ɔ̃ m n ɨ
nieprzytulanie,ˌ ɲ ɛ p ʃ ɨ t u ˈ l ã ɲ ɛ
nieprzyzwoity,ˌ ɲ ɛ p ʃ ɨ z v ɔ ˈ s u p j s u p i t ɨ
niepróbowanie,ˌ ɲ ɛ p r u b ɔ ˈ v ã ɲ ɛ
niepucowanie,ˌ ɲ ɛ p u t s̑ ɔ ˈ v ã ɲ ɛ
niepukanie,ˌ ɲ ɛ p u ˈ k ã ɲ ɛ
niepustoszenie,ˌ ɲ ɛ p u s t ɔ ˈ ʃ ɛ̃ ɲ ɛ
niepuszczanie,ˌ ɲ ɛ p u ʃ ˈ t ʃ̑ ã ɲ ɛ
niepytanie,ˌ ɲ ɛ p ɨ ˈ t ã ɲ ɛ
niepłacenie,ˌ ɲ ɛ p w a ˈ t s̑ ɛ̃ ɲ ɛ
niepłakanie,ˌ ɲ ɛ p w a ˈ k ã ɲ ɛ
niepłukanie,ˌ ɲ ɛ p w u ˈ k ã ɲ ɛ
niepływanie,ˌ ɲ ɛ p w ɨ ˈ v ã ɲ ɛ
nierabowanie,ˌ ɲ ɛ r a b ɔ ˈ v ã ɲ ɛ
nieraczenie,ˌ ɲ ɛ r a ˈ t ʃ̑ ɛ̃ ɲ ɛ
nieratowanie,ˌ ɲ ɛ r a t ɔ ˈ v ã ɲ ɛ
nieraz,ˈ ɲ ɛ r a s
nierdzewka,ɲ ɛ ˈ r d z̑ ɛ f k a
nierealny,ˌ ɲ ɛ r ɛ ˈ a l n ɨ
niereflektowanie,ˌ ɲ ɛ r ɛ f l ɛ k t ɔ ˈ v ã ɲ ɛ
nierefowanie,ˌ ɲ ɛ r ɛ f ɔ ˈ v ã ɲ ɛ
nieregularnie,ˌ ɲ ɛ r ɛ ɡ u ˈ l a rʲ ɲ ɛ
niereligijny,ˌ ɲ ɛ r ɛ lʲ i ˈ ɟ i j n ɨ
niereperowanie,ˌ ɲ ɛ r ɛ p ɛ r ɔ ˈ v ã ɲ ɛ
nierewaluowanie,ˌ ɲ ɛ r ɛ v a l u s u p w s u p ɔ ˈ v ã ɲ ɛ
nierewokowanie,ˌ ɲ ɛ r ɛ v ɔ k ɔ ˈ v ã ɲ ɛ
nierodowodowy,ˌ ɲ ɛ r ɔ d ɔ v ɔ ˈ d ɔ v ɨ
nierodzenie,ˌ ɲ ɛ r ɔ ˈ d z̑ ɛ̃ ɲ ɛ
nierolowanie,ˌ ɲ ɛ r ɔ l ɔ ˈ v ã ɲ ɛ
nierozczarowanie,ˌ ɲ ɛ r ɔ ʃ t ʃ̑ a r ɔ ˈ v ã ɲ ɛ
nierozdawanie,ˌ ɲ ɛ r ɔ z d a ˈ v ã ɲ ɛ
nierozdrabnianie,ˌ ɲ ɛ r ɔ z d r a bʲ ˈ ɲ ä̃ ɲ ɛ
nierozdysponowanie,ˌ ɲ ɛ r ɔ z d ɨ s p ɔ̃ n ɔ ˈ v ã ɲ ɛ
nierozdzielanie,ˌ ɲ ɛ r ɔ ʑ ʥ̑ ɛ ˈ l ã ɲ ɛ
nierozerwalność,ˌ ɲ ɛ r ɔ z ɛ ˈ r v a l n ɔ ɕ ʨ̑
nierozjaśnianie,ˌ ɲ ɛ r ɔ zʲ j ä ɕ ˈ ɲ ä̃ ɲ ɛ
nierozjaśnienie,ˌ ɲ ɛ r ɔ zʲ j ä ɕ ˈ ɲ ɛ̇̃ ɲ ɛ
nierozkoszowanie,ˌ ɲ ɛ r ɔ s k ɔ ʃ ɔ ˈ v ã ɲ ɛ
nierozmawianie,ˌ ɲ ɛ r ɔ z m a ˈ vʲ j ä̃ ɲ ɛ
nierozmyślanie,ˌ ɲ ɛ r ɔ z m ɨ ɕ ˈ l ã ɲ ɛ
nierozpoznawalny,ˌ ɲ ɛ r ɔ s p ɔ z n a ˈ v a l n ɨ
nierozprężanie,ˌ ɲ ɛ r ɔ s p r ɛ̃ w̃ ˈ ʒ ã ɲ ɛ
nierozrabianie,ˌ ɲ ɛ r ɔ z r a ˈ bʲ j ä̃ ɲ ɛ
nierozszerzanie,ˌ ɲ ɛ r ɔ s ʃ ɛ ˈ ʒ ã ɲ ɛ
nierozsądnie,ˌ ɲ ɛ r ɔ s ˈː ɔ̃ n dʲ ɲ ɛ
nierozważanie,ˌ ɲ ɛ r ɔ z v a ˈ ʒ ã ɲ ɛ
nierozważnie,ˌ ɲ ɛ r ɔ z ˈ v a ʒʲ ɲ ɛ
